scope,query_id,split,system,P@10,R@20,F1,NDCG@20,hallucinated_or_out_of_pool,total_tokens,latency_s
resolvable,RealScholarQuery_27,test,single_llm,0.0,0.0,0.0,0.0,0,1155,5.939784900008817
resolvable,RealScholarQuery_27,test,scholarloop_a_v2_no_rerank,0.2,0.3333333333333333,0.25,0.23473630704645568,0,0,0.0
resolvable,RealScholarQuery_27,test,scholarloop_a_v2,0.3,0.3333333333333333,0.3157894736842105,0.2232528924776503,0,0,8.232517800002825
resolvable,RealScholarQuery_28,train,keyword,0.0,0.0,0.0,0.0,0,0,0.0
resolvable,RealScholarQuery_28,train,bm25,0.1,0.5,0.16666666666666669,0.21743701127756251,0,0,0.0
resolvable,RealScholarQuery_28,train,neural_embedding_v2,0.2,0.5,0.28571428571428575,0.2476427880871277,0,0,0.0
resolvable,RealScholarQuery_28,train,single_llm,0.1,0.25,0.14285714285714288,0.24630238874073,0,1101,5.193528500007233
resolvable,RealScholarQuery_28,train,scholarloop_a_v2_no_rerank,0.2,0.5,0.28571428571428575,0.6366824387328317,0,0,0.0
resolvable,RealScholarQuery_28,train,scholarloop_a_v2,0.2,0.5,0.28571428571428575,0.6366824387328317,0,0,9.499982799999998
resolvable,RealScholarQuery_29,train,keyword,0.0,0.0,0.0,0.0,0,0,0.0
resolvable,RealScholarQuery_29,train,bm25,0.0,0.0,0.0,0.0,0,0,0.0
resolvable,RealScholarQuery_29,train,neural_embedding_v2,0.0,0.125,0.0,0.05758752804519195,0,0,0.0
resolvable,RealScholarQuery_29,train,single_llm,0.0,0.0,0.0,0.0,0,1651,9.544446899992181
resolvable,RealScholarQuery_29,train,scholarloop_a_v2_no_rerank,0.1,0.125,0.11111111111111112,0.07979453856244817,0,0,0.0
resolvable,RealScholarQuery_29,train,scholarloop_a_v2,0.0,0.0,0.0,0.0,0,0,14.330796599999303
resolvable,RealScholarQuery_30,train,keyword,0.0,0.0,0.0,0.0,0,0,0.0
resolvable,RealScholarQuery_30,train,bm25,0.0,0.0,0.0,0.0,0,0,0.0
resolvable,RealScholarQuery_30,train,neural_embedding_v2,0.1,0.16666666666666666,0.125,0.09546043308946733,0,0,0.0
resolvable,RealScholarQuery_30,train,single_llm,0.1,0.16666666666666666,0.125,0.30260241349881345,0,851,3.0265279000013834
resolvable,RealScholarQuery_30,train,scholarloop_a_v2_no_rerank,0.2,0.3333333333333333,0.25,0.4539036202482202,0,0,0.0
